seed 1,Permutation,seed 2,acc.
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",42,0.9655172413793104
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",137,0.9396551724137931
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",256,0.9827586206896551
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",389,0.9396551724137931
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",514,0.9310344827586207
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",671,0.9827586206896551
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",802,0.9396551724137931
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",943,0.9741379310344828
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",1057,0.9482758620689655
137,"[27 25 12 19 17 15 29  3 11  4 18  1  9 24 10 14  6 23  8 20  7 28  0 22
 21 13  2 26  5 16]",1234,0.9655172413793104
