seed 1,Permutation,seed 2,acc.
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",42,0.9051724137931034
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",137,0.9137931034482759
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",256,0.9568965517241379
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",389,0.9482758620689655
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",514,0.9482758620689655
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",671,0.9224137931034483
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",802,0.9051724137931034
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",943,0.9310344827586207
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",1057,0.9310344827586207
389,"[22 12 11 29 16 24  4 17 28 19 25  1 27 20  5  0 15 26  8 13 23 14  6 18
 21  9  7  2  3 10]",1234,0.9310344827586207
