seed 1,Permutation,seed 2,acc.
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",42,0.9310344827586207
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",137,0.9741379310344828
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",256,0.9482758620689655
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",389,0.9396551724137931
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",514,0.9482758620689655
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",671,0.9741379310344828
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",802,0.9568965517241379
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",943,0.9655172413793104
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",1057,0.9482758620689655
1234,"[28  5 10 11 24  9 17 12  0 25 27  3 22  8 15 13  2 16 21 29  7  6  4 18
 14 20 23  1 19 26]",1234,0.9051724137931034
