seed 1,Permutation,seed 2,acc.
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",42,0.9224137931034483
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",137,0.9224137931034483
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",256,0.9741379310344828
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",389,0.9568965517241379
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",514,0.9310344827586207
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",671,0.9568965517241379
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",802,0.9568965517241379
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",943,0.9568965517241379
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",1057,0.9655172413793104
802,"[ 1  0 27 18 28  4  7 20 17 29 21 10 13 24 12 23 11  6  5  9 19 14  2  3
 15 26 22 25  8 16]",1234,0.8879310344827587
